"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"06.09.2024","2,597","2,580","2,615","2,561","60,76K","0,70%"
"09.09.2024","2,527","2,557","2,581","2,506","109,25K","-2,70%"
"10.09.2024","2,545","2,516","2,580","2,497","111,76K","0,71%"
"11.09.2024","2,577","2,538","2,597","2,513","114,66K","1,26%"
"12.09.2024","2,633","2,583","2,666","2,533","138,04K","2,17%"
"13.09.2024","2,589","2,638","2,666","2,575","109,16K","-1,67%"
"16.09.2024","2,639","2,580","2,656","2,547","108,85K","1,93%"
"17.09.2024","2,613","2,645","2,691","2,603","118,35K","-0,99%"
"18.09.2024","2,565","2,606","2,656","2,560","95,43K","-1,84%"
"19.09.2024","2,595","2,568","2,604","2,505","138,18K","1,17%"
"20.09.2024","2,719","2,603","2,743","2,582","183,09K","4,78%"
"23.09.2024","2,854","2,735","2,874","2,728","212,24K","4,97%"
"24.09.2024","2,791","2,861","2,895","2,776","153,22K","-2,21%"
"25.09.2024","2,817","2,814","2,887","2,795","183,26K","0,93%"
"26.09.2024","2,753","2,829","2,883","2,731","187,37K","-2,27%"
"27.09.2024","3,304","3,173","3,332","3,145","78,66K","20,01%"
"30.09.2024","3,345","3,302","3,368","3,274","67,90K","1,24%"
"01.10.2024","3,288","3,330","3,338","3,253","69,60K","-1,70%"
"02.10.2024","3,297","3,288","3,378","3,272","63,44K","0,27%"
"03.10.2024","3,369","3,329","3,387","3,303","59,49K","2,18%"
"04.10.2024","3,305","3,370","3,406","3,288","83,10K","-1,90%"
"07.10.2024","3,218","3,282","3,316","3,197","104,32K","-2,63%"
"08.10.2024","3,199","3,202","3,230","3,162","75,26K","-0,59%"
"09.10.2024","3,116","3,176","3,185","3,084","88,81K","-2,59%"
"10.10.2024","3,102","3,099","3,128","3,048","94,80K","-0,45%"
"11.10.2024","3,047","3,115","3,146","3,030","81,89K","-1,77%"
"14.10.2024","2,930","3,030","3,039","2,915","80,92K","-3,84%"
"15.10.2024","2,944","2,922","3,001","2,882","94,81K","0,48%"
"16.10.2024","2,841","2,937","2,942","2,830","121,63K","-3,50%"
"17.10.2024","2,830","2,851","2,892","2,819","103,63K","-0,39%"
"18.10.2024","2,765","2,829","2,842","2,762","128,38K","-2,30%"
"21.10.2024","2,807","2,740","2,862","2,712","111,07K","1,52%"
"22.10.2024","2,895","2,850","2,920","2,787","142,72K","3,14%"
"23.10.2024","2,901","2,878","2,980","2,848","121,31K","0,21%"
"24.10.2024","3,018","2,952","3,062","2,903","199,16K","4,03%"
"25.10.2024","3,092","3,017","3,101","2,967","144,71K","2,45%"
"28.10.2024","2,863","3,044","3,044","2,801","253,31K","-7,41%"
"29.10.2024","2,859","2,841","2,908","2,794","143,88K","-0,14%"
"30.10.2024","3,101","3,169","3,171","3,032","91,51K","8,46%"
"31.10.2024","2,968","3,073","3,087","2,958","119,05K","-4,29%"
"01.11.2024","2,936","2,965","2,983","2,908","102,07K","-1,08%"
"04.11.2024","3,036","2,849","3,053","2,800","109,06K","3,41%"
"05.11.2024","2,936","3,042","3,070","2,915","93,38K","-3,29%"
"06.11.2024","3,007","2,948","3,050","2,921","95,62K","2,42%"
"07.11.2024","2,948","2,966","3,029","2,915","103,38K","-1,96%"
"08.11.2024","2,922","2,952","3,002","2,905","105,68K","-0,88%"
"11.11.2024","3,126","3,013","3,169","3,009","146,08K","6,98%"
"12.11.2024","3,133","3,155","3,216","3,081","176,30K","0,22%"
"13.11.2024","3,202","3,137","3,234","3,057","161,61K","2,20%"
"14.11.2024","3,054","3,201","3,201","3,036","149,36K","-4,62%"
"15.11.2024","3,096","3,037","3,113","2,975","123,42K","1,38%"
"18.11.2024","3,186","3,198","3,220","3,088","167,48K","2,91%"
"19.11.2024","3,228","3,166","3,280","3,132","170,83K","1,32%"
"20.11.2024","3,193","2,962","3,237","2,942","225,69K","-1,08%"
"21.11.2024","3,339","3,216","3,451","3,195","192,16K","4,57%"
"22.11.2024","3,129","3,390","3,563","3,071","95,81K","-6,29%"
